Agent Name,Rating,Review Text,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
Blinkit,1.9,"Delivery took ages, no communication.",55,Kolkata,Electronics,Negative,High,Yes,In Stock,3,Incorrect
Zepto,5.0,"Order was accurate, arrived earlier than expected.",29,Bangalore,Grocery,Positive,Medium,Yes,Out of Stock,5,Correct
Swiggy Instamart,2.4,"Delivery was hours late, no tracking updates.",42,Delhi,Electronics,Negative,Low,Yes,Out of Stock,1,Incorrect
Zepto,4.9,"Fantastic delivery, food was fresh.",34,Mumbai,Essentials,Positive,Medium,No,In Stock,3,Correct
Blinkit,2.9,"Service was slow, support was unhelpful.",41,Ahmedabad,Electronics,Negative,Medium,Yes,In Stock,4,Incorrect
JioMart,3.8,"Order was fine, delivery was on time.",26,Kolkata,Essentials,Neutral,Low,No,Out of Stock,3,Incorrect
Blinkit,3.3,"Package was mishandled, contents were broken.",57,Lucknow,Pharmacy,Negative,Low,Yes,Out of Stock,2,Incorrect
Swiggy Instamart,3.3,"Delivery was quick, everything was great!",30,Chennai,Electronics,Positive,High,No,In Stock,4,Correct
JioMart,3.4,"Great experience, will order again!",25,Chennai,Pharmacy,Positive,Low,No,Out of Stock,3,Correct
Swiggy Instamart,3.9,"Order was correct, app could improve.",22,Chennai,Essentials,Neutral,Medium,Yes,Out of Stock,3,Correct
JioMart,3.3,"Delivery was okay, could use better updates.",24,Hyderabad,Essentials,Neutral,Medium,Yes,Out of Stock,3,Incorrect
Blinkit,3.4,"Order was accurate, arrived early.",22,Pune,Pharmacy,Positive,Low,Yes,In Stock,4,Incorrect
Swiggy Instamart,3.4,"Order was spot on, arrived on time.",29,Lucknow,Electronics,Positive,Low,No,In Stock,4,Incorrect
Zepto,3.8,"Delivery was quick, service was excellent.",34,Lucknow,Grocery,Positive,High,Yes,In Stock,5,Correct
JioMart,3.0,"Order was fine, delivery was on time.",40,Pune,Electronics,Neutral,Medium,Yes,In Stock,3,Incorrect
Zepto,3.9,"Service was great, delivery was quick.",34,Hyderabad,Essentials,Positive,High,No,Out of Stock,3,Incorrect
Swiggy Instamart,3.5,"Delivery was lightning fast, great job!",37,Kolkata,Food,Positive,High,Yes,Out of Stock,4,Incorrect
Swiggy Instamart,2.2,"support was disorganized, delivery was late.",47,Kolkata,Food,Negative,Low,Yes,In Stock,3,Incorrect
Zepto,3.9,"Delivery was late, and the app didn’t update.",41,Kolkata,Electronics,Negative,Medium,Yes,Out of Stock,3,Correct
Blinkit,2.6,"Driver didn’t follow instructions, order was wrong.",56,Delhi,Food,Negative,Medium,Yes,Out of Stock,1,Correct
Blinkit,5.0,"Great experience, will order again!",29,Ahmedabad,Pharmacy,Positive,High,No,Out of Stock,5,Incorrect
Swiggy Instamart,3.4,"Delivery was quick, service was excellent.",40,Mumbai,Electronics,Positive,Low,No,In Stock,4,Correct
Swiggy Instamart,3.9,"Order was correct, driver was professional.",40,Jaipur,Electronics,Positive,Medium,Yes,In Stock,3,Incorrect
Blinkit,3.1,"Order arrived, tracking could be improved.",22,Ahmedabad,Essentials,Neutral,Low,No,In Stock,3,Correct
JioMart,3.3,"Delivery was slightly delayed, driver was polite.",22,Jaipur,Food,Neutral,High,No,In Stock,4,Incorrect
JioMart,4.6,"Delivery was smooth, food was fresh.",22,Delhi,Food,Positive,High,No,Out of Stock,3,Incorrect
Blinkit,3.3,"Delivery was lightning fast, great job!",27,Ahmedabad,Electronics,Positive,Low,Yes,In Stock,5,Correct
Zepto,3.7,"Service was average, no major complaints.",33,Mumbai,Essentials,Neutral,Medium,Yes,In Stock,3,Incorrect
Zepto,3.2,"Experience was average, needs more communication.",31,Delhi,Grocery,Neutral,Medium,Yes,Out of Stock,4,Correct
JioMart,2.6,"Wrong items delivered, very frustrating experience.",39,Lucknow,Electronics,Negative,Medium,Yes,Out of Stock,4,Incorrect
JioMart,3.8,"goods arrived, packaging was adequate.",26,Lucknow,Pharmacy,Neutral,Medium,No,In Stock,4,Correct
Blinkit,3.7,"Items were out of stock, no notice given.",37,Chennai,Essentials,Negative,Low,Yes,In Stock,1,Incorrect
JioMart,1.0,"Delivery was late, food was cold.",49,Mumbai,Pharmacy,Negative,Medium,Yes,In Stock,1,Correct
JioMart,2.5,"Order was cancelled last minute, very annoying.",42,Pune,Food,Negative,Medium,Yes,In Stock,1,Correct
Blinkit,3.5,"Delivery was acceptable, but not great.",29,Lucknow,Essentials,Neutral,Medium,No,In Stock,4,Incorrect
JioMart,3.2,"Items were correct, experience was average.",36,Ahmedabad,Essentials,Neutral,High,No,Out of Stock,3,Correct
JioMart,3.6,"excellent experience, everything went smoothly.",29,Chennai,Pharmacy,Positive,Low,Yes,In Stock,3,Correct
Zepto,4.0,"Driver was friendly, service was awesome.",33,Bangalore,Food,Positive,Medium,No,In Stock,3,Incorrect
Swiggy Instamart,3.6,"Fast and reliable delivery, great service!",35,Bangalore,Pharmacy,Positive,Medium,No,In Stock,5,Incorrect
Blinkit,2.1,"Took forever to deliver, no updates provided.",55,Bangalore,Grocery,Negative,Low,Yes,Out of Stock,4,Correct
Zepto,3.8,"Items were correct, experience was average.",24,Lucknow,Electronics,Neutral,Low,Yes,Out of Stock,3,Incorrect
Blinkit,3.6,"Order was correct, service was okay.",23,Chennai,Essentials,Neutral,Medium,No,In Stock,3,Correct
Swiggy Instamart,3.7,"Service was standard, no issues but no wow factor.",20,Mumbai,Grocery,Neutral,Low,Yes,Out of Stock,3,Incorrect
Blinkit,4.0,"Delivery was super fast, food was hot.",23,Mumbai,Food,Positive,High,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,5.0,"Order was perfect, delivery was quick.",30,Lucknow,Electronics,Positive,Medium,Yes,Out of Stock,4,Correct
Blinkit,3.9,"Order arrived on time, but not exceptional.",24,Kolkata,Grocery,Neutral,Medium,Yes,In Stock,3,Correct
JioMart,2.2,"Delivery took ages, no communication.",57,Delhi,Essentials,Negative,High,Yes,In Stock,1,Incorrect
Swiggy Instamart,2.2,"Driver was impolite, left package in wrong spot.",60,Chennai,Essentials,Negative,Low,No,In Stock,2,Incorrect
Zepto,3.3,"Delivery was late, food was cold.",32,Ahmedabad,Essentials,Negative,Medium,No,Out of Stock,2,Incorrect
Swiggy Instamart,3.6,"Food spilled in the bag, completely unacceptable.",58,Ahmedabad,Pharmacy,Negative,High,Yes,In Stock,3,Correct
Swiggy Instamart,3.5,"Service was average, no complaints.",25,Jaipur,Grocery,Neutral,Medium,Yes,In Stock,4,Correct
Blinkit,2.7,"Service was slow, items were not as ordered.",37,Chennai,Essentials,Negative,Low,Yes,Out of Stock,3,Incorrect
Blinkit,3.9,"Service was okay, nothing special.",36,Ahmedabad,Essentials,Neutral,Low,No,In Stock,4,Correct
Blinkit,3.5,"Order was correct, app didn’t update properly.",22,Jaipur,Electronics,Neutral,Low,Yes,Out of Stock,3,Correct
Zepto,4.2,"Amazing service, very professional driver.",38,Pune,Electronics,Positive,Low,Yes,In Stock,3,Incorrect
Swiggy Instamart,3.4,"Delivery was okay, but updates were slow.",35,Mumbai,Food,Neutral,Low,Yes,In Stock,3,Incorrect
JioMart,3.5,"Experience was average, needs more communication.",23,Mumbai,Grocery,Neutral,Low,No,In Stock,3,Incorrect
Blinkit,3.0,"Items were well-packaged, arrived on time.",24,Hyderabad,Pharmacy,Positive,Medium,Yes,In Stock,3,Incorrect
Swiggy Instamart,3.4,"delivery person ignored instructions, poor service.",57,Ahmedabad,Food,Negative,High,No,Out of Stock,2,Correct
JioMart,3.0,"Order was correct, app didn’t update properly.",36,Kolkata,Grocery,Neutral,Low,No,Out of Stock,4,Correct
Swiggy Instamart,3.2,"Received wrong products, very poor service.",38,Pune,Grocery,Negative,High,Yes,In Stock,2,Incorrect
JioMart,1.8,"delivery person ignored instructions, poor service.",37,Chennai,Electronics,Negative,High,No,In Stock,2,Correct
Zepto,2.8,Food arrived slow and was not fresh.,54,Chennai,Essentials,Negative,Low,No,Out of Stock,1,Correct
Swiggy Instamart,3.7,"Delivery was on time, items were correct.",30,Ahmedabad,Pharmacy,Positive,Medium,Yes,Out of Stock,5,Incorrect
Blinkit,3.1,"Professional driver, seamless delivery process.",35,Jaipur,Food,Positive,High,Yes,In Stock,5,Correct
Blinkit,3.3,"Order was flawless, will use again!",28,Hyderabad,Food,Positive,Low,No,Out of Stock,4,Correct
Blinkit,3.7,"Wrong items delivered, very inconvenient.",48,Jaipur,Pharmacy,Negative,High,No,In Stock,3,Correct
Zepto,1.1,"Missing items, no explanation provided.",30,Lucknow,Electronics,Negative,High,Yes,Out of Stock,1,Incorrect
Swiggy Instamart,3.9,"Food arrived soggy, terrible quality control.",39,Delhi,Pharmacy,Negative,Medium,No,In Stock,1,Incorrect
Zepto,3.4,"Food arrived soggy, terrible quality control.",32,Kolkata,Essentials,Negative,Low,Yes,In Stock,4,Incorrect
Blinkit,4.6,"Delivery was lightning fast, great job!",23,Lucknow,Pharmacy,Positive,High,Yes,Out of Stock,4,Incorrect
Blinkit,3.2,"Delivery was timely, but app was slow.",32,Lucknow,Electronics,Neutral,Low,No,Out of Stock,4,Correct
Zepto,3.1,"Great customer service, quick delivery.",28,Ahmedabad,Pharmacy,Positive,Low,No,Out of Stock,4,Incorrect
Swiggy Instamart,1.9,"Order was wrong, customer service ignored me.",37,Lucknow,Electronics,Negative,Medium,No,Out of Stock,3,Correct
JioMart,2.3,"Order was delayed, no updates given.",45,Chennai,Pharmacy,Negative,High,Yes,In Stock,1,Correct
Swiggy Instamart,1.0,"Delivery was over an hour late, items were incorrect.",42,Pune,Pharmacy,Negative,High,No,In Stock,1,Incorrect
Swiggy Instamart,3.7,"Customer service was unresponsive, bad experience.",60,Jaipur,Essentials,Negative,High,Yes,In Stock,3,Correct
JioMart,3.2,"order were delivered, tracking was okay.",37,Bangalore,Food,Neutral,Low,No,In Stock,4,Correct
Zepto,3.7,"Delivery was super fast, food was hot.",27,Kolkata,Food,Positive,High,No,In Stock,4,Incorrect
JioMart,2.1,"Products out of stock, wasn’t informed earlier.",58,Bangalore,Grocery,Negative,High,Yes,In Stock,4,Correct
JioMart,2.5,"Wrong items delivered, very inconvenient.",51,Kolkata,Pharmacy,Negative,Medium,Yes,In Stock,2,Incorrect
JioMart,3.3,"Package was mishandled, contents were broken.",51,Ahmedabad,Essentials,Negative,High,Yes,In Stock,4,Correct
Zepto,3.6,"Food arrived soggy, terrible quality control.",59,Mumbai,Food,Negative,Medium,No,Out of Stock,3,Incorrect
JioMart,3.0,"order were perfect, arrived right on time.",38,Chennai,Pharmacy,Positive,Low,No,Out of Stock,4,Incorrect
Blinkit,2.6,"Package was damaged, contents were unusable.",45,Jaipur,Essentials,Negative,High,No,Out of Stock,4,Incorrect
Blinkit,3.5,"Wrong products delivered, very frustrating experience.",47,Mumbai,Grocery,Negative,High,Yes,In Stock,4,Incorrect
Blinkit,1.2,"Received damaged goods, no refund offered.",53,Chennai,Electronics,Negative,Medium,Yes,In Stock,2,Correct
Zepto,4.4,"Fantastic delivery, food was fresh.",31,Mumbai,Grocery,Positive,Medium,No,Out of Stock,3,Correct
Swiggy Instamart,1.8,"Food arrived cold, packaging was damaged.",49,Ahmedabad,Pharmacy,Negative,Low,Yes,In Stock,4,Incorrect
Blinkit,3.2,"Delivery was okay, tracking wasn’t great.",24,Hyderabad,Essentials,Neutral,High,Yes,Out of Stock,3,Correct
Swiggy Instamart,4.6,"Service was amazing, everything was perfect.",24,Bangalore,Food,Positive,High,Yes,In Stock,4,Incorrect
Blinkit,3.4,"Order arrived, service was standard.",20,Hyderabad,Essentials,Neutral,Medium,Yes,Out of Stock,4,Correct
Blinkit,3.6,"Delivery was timely, but updates were slow.",27,Hyderabad,Food,Neutral,Medium,Yes,In Stock,4,Correct
Blinkit,3.8,"Order cancelled without notice, wasted my time.",46,Hyderabad,Essentials,Negative,Low,Yes,Out of Stock,2,Correct
Blinkit,3.0,"Order arrived, tracking could be improved.",33,Delhi,Pharmacy,Neutral,Medium,Yes,In Stock,3,Correct
Zepto,2.2,"Missing items, no explanation provided.",48,Bangalore,Food,Negative,Medium,No,Out of Stock,3,Incorrect
Zepto,3.1,"Items missing from my order, very disappointing.",36,Jaipur,Grocery,Negative,Medium,No,In Stock,1,Correct
Zepto,3.8,"Food arrived fresh, packaging was great.",22,Jaipur,Grocery,Positive,Low,Yes,In Stock,3,Correct
Blinkit,3.2,Driver was rude and ignored delivery instructions.,36,Delhi,Food,Negative,Low,Yes,Out of Stock,3,Correct
Blinkit,3.4,"Delivery was okay, could use better updates.",31,Kolkata,Essentials,Neutral,Low,Yes,Out of Stock,4,Correct
Zepto,4.6,"Items arrived in great condition, on time.",33,Pune,Electronics,Positive,Low,Yes,In Stock,4,Correct
Zepto,3.1,"Items arrived, service was decent.",22,Hyderabad,Food,Neutral,Low,Yes,In Stock,3,Correct
JioMart,4.3,"Delivery was quick, everything was great!",30,Ahmedabad,Essentials,Positive,Medium,Yes,Out of Stock,3,Incorrect
Zepto,3.6,"Service was average, no major complaints.",30,Chennai,Grocery,Neutral,High,No,In Stock,3,Correct
Swiggy Instamart,3.2,"Order arrived, tracking could be improved.",31,Delhi,Electronics,Neutral,High,Yes,Out of Stock,4,Incorrect
Zepto,3.8,"Order was spot on, arrived on time.",34,Delhi,Food,Positive,Medium,Yes,In Stock,4,Correct
Zepto,3.6,"Service was acceptable, could be smoother.",33,Kolkata,Food,Neutral,Low,Yes,In Stock,4,Incorrect
Blinkit,3.7,"Items were correct, experience was average.",34,Delhi,Grocery,Neutral,High,Yes,Out of Stock,3,Correct
Zepto,2.7,"Service was slow, items were not as ordered.",58,Mumbai,Food,Negative,Medium,Yes,Out of Stock,3,Correct
Zepto,3.6,"Delivery was lightning fast, great job!",34,Ahmedabad,Grocery,Positive,Low,No,In Stock,5,Incorrect
Blinkit,3.8,"Fantastic delivery, food was fresh.",23,Bangalore,Pharmacy,Positive,High,No,Out of Stock,3,Correct
Blinkit,4.7,"Delivery was smooth, food was fresh.",37,Kolkata,Electronics,Positive,High,No,Out of Stock,3,Incorrect
Zepto,4.5,"Order was accurate, arrived earlier than expected.",20,Lucknow,Grocery,Positive,Low,Yes,Out of Stock,4,Incorrect
JioMart,3.9,Late delivery and poor communication throughout.,57,Hyderabad,Grocery,Negative,Low,No,Out of Stock,1,Incorrect
Zepto,2.1,"Delivery was hours late, no tracking updates.",37,Pune,Pharmacy,Negative,Medium,Yes,Out of Stock,1,Correct
Blinkit,4.6,"Fantastic experience, everything spot on!",21,Lucknow,Electronics,Positive,Low,Yes,Out of Stock,5,Correct
Blinkit,4.9,"Order was spot on, arrived on time.",22,Mumbai,Pharmacy,Positive,Medium,No,Out of Stock,3,Incorrect
Zepto,4.4,"Fast delivery, everything was as ordered.",22,Jaipur,Essentials,Positive,Medium,No,In Stock,4,Incorrect
Zepto,3.7,"courier was friendly, followed instructions exactly.",34,Hyderabad,Essentials,Positive,Low,Yes,Out of Stock,3,Incorrect
Blinkit,4.9,"prompt and reliable delivery, fantastic service!",23,Pune,Food,Positive,High,No,In Stock,4,Correct
Blinkit,3.2,"Order was fine, delivery was slightly late.",32,Kolkata,Pharmacy,Neutral,Medium,No,In Stock,4,Incorrect
Zepto,3.5,"Service was decent, nothing stood out.",34,Hyderabad,Pharmacy,Neutral,Medium,Yes,Out of Stock,4,Incorrect
Zepto,4.0,"Delivery was smooth, food was fresh.",38,Lucknow,Grocery,Positive,Low,No,Out of Stock,5,Incorrect
Blinkit,3.1,"Items arrived, but app didn’t update.",34,Hyderabad,Electronics,Neutral,Medium,No,In Stock,4,Correct
Swiggy Instamart,3.3,"Order was correct, support was okay.",37,Chennai,Food,Neutral,Medium,Yes,Out of Stock,4,Correct
Blinkit,3.6,"Wrong items delivered, very inconvenient.",52,Kolkata,Essentials,Negative,Low,Yes,In Stock,2,Incorrect
Blinkit,4.2,"Delivery was smooth, courier was friendly.",35,Jaipur,Pharmacy,Positive,Low,Yes,In Stock,3,Incorrect
JioMart,4.8,"Driver was polite, order was accurate.",34,Bangalore,Electronics,Positive,Medium,No,Out of Stock,3,Correct
Blinkit,4.3,"Professional driver, seamless delivery process.",26,Pune,Essentials,Positive,Low,No,Out of Stock,5,Incorrect
Swiggy Instamart,3.2,"Order was correct, app could improve.",40,Pune,Food,Neutral,Low,No,Out of Stock,3,Correct
Zepto,1.7,"Customer service was unresponsive, bad experience.",34,Lucknow,Electronics,Negative,Low,Yes,Out of Stock,2,Incorrect
JioMart,3.7,"Order was fine, but driver seemed rushed.",37,Delhi,Essentials,Neutral,High,Yes,Out of Stock,3,Correct
Swiggy Instamart,3.8,"Delivery was on time, app was glitchy.",30,Chennai,Grocery,Neutral,High,No,Out of Stock,4,Incorrect
JioMart,4.0,"Great customer service, quick delivery.",20,Ahmedabad,Essentials,Positive,Low,Yes,In Stock,5,Incorrect
JioMart,3.9,"Delivery was slow, tracking was inaccurate.",54,Hyderabad,Grocery,Negative,High,No,In Stock,3,Correct
Zepto,3.3,"Order was fine, delivery was on time.",27,Lucknow,Electronics,Neutral,High,No,In Stock,4,Incorrect
Zepto,3.9,"Delivery was okay, but updates were slow.",21,Mumbai,Pharmacy,Neutral,Medium,Yes,In Stock,3,Correct
Zepto,1.2,"Received damaged goods, no refund offered.",46,Kolkata,Electronics,Negative,High,No,Out of Stock,4,Correct
Zepto,1.5,"Delivery was slow, tracking was inaccurate.",60,Ahmedabad,Essentials,Negative,High,No,In Stock,3,Incorrect
JioMart,2.6,"Items missing from my order, very disappointing.",42,Jaipur,Electronics,Negative,Medium,No,Out of Stock,3,Incorrect
Swiggy Instamart,4.8,"Delivery was early, items were correct.",23,Jaipur,Food,Positive,Medium,No,Out of Stock,4,Incorrect
JioMart,2.4,"Products out of stock, wasn’t informed earlier.",38,Chennai,Food,Negative,Low,No,Out of Stock,2,Correct
Blinkit,3.7,"Items were damaged, no refund process.",32,Jaipur,Electronics,Negative,Low,Yes,In Stock,2,Incorrect
Blinkit,3.4,"Items were delivered, minor delay occurred.",34,Ahmedabad,Pharmacy,Neutral,High,Yes,Out of Stock,4,Incorrect
Zepto,3.8,"Delivery was timely, but communication lacked.",21,Mumbai,Essentials,Neutral,Medium,Yes,In Stock,4,Incorrect
Blinkit,4.5,"Service was excellent, driver was polite.",34,Hyderabad,Electronics,Positive,Low,Yes,In Stock,3,Incorrect
JioMart,4.0,"Items were correct, experience was average.",21,Jaipur,Grocery,Neutral,Medium,No,Out of Stock,3,Incorrect
Blinkit,3.3,"Service was average, no major complaints.",37,Hyderabad,Grocery,Neutral,Medium,Yes,Out of Stock,4,Incorrect
Swiggy Instamart,3.0,"Order arrived, but tracking was unreliable.",25,Lucknow,Electronics,Neutral,Medium,No,In Stock,4,Incorrect
Zepto,3.5,"Food arrived cold, packaging was damaged.",38,Chennai,Essentials,Negative,High,No,In Stock,3,Incorrect
Blinkit,3.8,"Items were correct, experience was average.",28,Bangalore,Grocery,Neutral,Low,No,In Stock,4,Incorrect
Zepto,3.8,"Delivery was early, items were correct.",34,Delhi,Essentials,Positive,Medium,No,In Stock,3,Incorrect
Blinkit,3.9,"Driver was friendly, followed instructions exactly.",23,Ahmedabad,Food,Positive,Low,Yes,Out of Stock,4,Correct
Zepto,1.2,"Driver didn’t follow instructions, order was wrong.",46,Jaipur,Pharmacy,Negative,Low,Yes,Out of Stock,4,Correct
JioMart,3.5,"Service was acceptable, could be smoother.",31,Delhi,Essentials,Neutral,Medium,No,In Stock,4,Correct
Zepto,3.4,"Driver was professional, items were perfect.",31,Mumbai,Electronics,Positive,High,No,Out of Stock,5,Correct
JioMart,3.4,"Delivery was timely, but updates were slow.",35,Jaipur,Pharmacy,Neutral,Medium,Yes,In Stock,3,Incorrect
JioMart,3.7,"Items were delivered, tracking was okay.",34,Hyderabad,Food,Neutral,Low,No,In Stock,3,Incorrect
Zepto,2.6,Missing items and no response from support.,58,Chennai,Essentials,Negative,High,Yes,In Stock,1,Incorrect
Blinkit,3.6,"Order was fine, delivery was on time.",29,Mumbai,Food,Neutral,Medium,Yes,In Stock,3,Correct
JioMart,4.9,"Order was accurate, arrived earlier than expected.",25,Hyderabad,Food,Positive,Medium,Yes,Out of Stock,5,Correct
Swiggy Instamart,3.3,"Delivery was quick, food was hot.",30,Chennai,Food,Positive,High,Yes,In Stock,5,Correct
JioMart,4.5,"Service was great, delivery was quick.",33,Chennai,Essentials,Positive,Low,Yes,Out of Stock,3,Correct
Zepto,3.7,"Wrong order received, customer service was unhelpful.",42,Hyderabad,Electronics,Negative,Low,No,Out of Stock,2,Correct
Blinkit,3.1,"Experience was average, needs more communication.",39,Lucknow,Electronics,Neutral,Low,No,In Stock,3,Correct
Zepto,1.3,"Service was disorganized, delivery was late.",39,Lucknow,Electronics,Negative,Low,No,In Stock,1,Correct
Blinkit,3.5,"Delivery was quick, food was hot.",38,Lucknow,Essentials,Positive,Low,No,In Stock,3,Correct
Swiggy Instamart,3.1,"Super fast delivery, everything was perfect!",23,Mumbai,Grocery,Positive,High,Yes,Out of Stock,5,Incorrect
JioMart,4.7,"Professional driver, seamless delivery process.",35,Kolkata,Essentials,Positive,High,Yes,Out of Stock,5,Incorrect
Zepto,3.8,"Items were delivered, minor packaging issue.",40,Delhi,Pharmacy,Neutral,Low,Yes,In Stock,3,Incorrect
Zepto,2.5,"Delivery was hours late, no tracking updates.",51,Ahmedabad,Food,Negative,High,No,In Stock,3,Incorrect
Blinkit,1.0,"Food arrived soggy, terrible quality control.",48,Bangalore,Electronics,Negative,Medium,Yes,In Stock,1,Incorrect
Zepto,3.2,"Items were delivered, tracking was okay.",22,Pune,Food,Neutral,High,No,Out of Stock,4,Correct
Zepto,3.3,"Driver was friendly, service was awesome.",23,Pune,Pharmacy,Positive,High,Yes,Out of Stock,4,Incorrect
JioMart,3.7,"Food arrived fresh, packaging was great.",30,Chennai,Food,Positive,Low,No,In Stock,3,Correct
Swiggy Instamart,4.1,"Service was amazing, everything was perfect.",39,Chennai,Pharmacy,Positive,Medium,Yes,Out of Stock,4,Correct
JioMart,1.6,Package was left in an unsafe location.,39,Kolkata,Pharmacy,Negative,Low,Yes,Out of Stock,1,Correct
Blinkit,3.4,"Service was okay, nothing special.",29,Delhi,Food,Neutral,High,Yes,Out of Stock,3,Correct
Blinkit,3.8,"Driver was polite, order was accurate.",31,Ahmedabad,Grocery,Positive,Low,Yes,Out of Stock,4,Correct
Zepto,3.6,"Items were delivered, minor delay occurred.",32,Chennai,Pharmacy,Neutral,High,Yes,In Stock,3,Incorrect
Zepto,3.2,"Service was okay, nothing special.",38,Bangalore,Electronics,Neutral,Medium,Yes,In Stock,4,Correct
Blinkit,3.5,"Service was decent, expected faster delivery.",26,Pune,Food,Neutral,Medium,Yes,In Stock,3,Correct
Zepto,4.1,"Fast and reliable delivery, great service!",28,Delhi,Essentials,Positive,Medium,No,Out of Stock,5,Incorrect
Swiggy Instamart,3.1,"Delivery was fast, service was outstanding.",27,Bangalore,Essentials,Positive,Low,Yes,Out of Stock,4,Incorrect
Swiggy Instamart,2.6,"Package was mishandled, items broken.",46,Mumbai,Pharmacy,Negative,Medium,No,In Stock,3,Correct
Zepto,3.9,"order were correct, support was standard.",37,Delhi,Essentials,Neutral,Medium,Yes,Out of Stock,3,Correct
JioMart,1.8,"Customer service was unresponsive, bad experience.",52,Ahmedabad,Grocery,Negative,Medium,No,Out of Stock,2,Incorrect
Swiggy Instamart,3.4,"Driver was professional, items were perfect.",27,Bangalore,Grocery,Positive,High,No,Out of Stock,5,Correct
Zepto,3.2,"Order arrived, but tracking was unreliable.",40,Mumbai,Pharmacy,Neutral,High,Yes,Out of Stock,3,Incorrect
Blinkit,4.5,"Service was outstanding, highly satisfied.",20,Delhi,Essentials,Positive,Medium,Yes,In Stock,5,Correct
JioMart,3.9,"Delivery was timely, but updates were slow.",28,Delhi,Pharmacy,Neutral,Low,No,In Stock,4,Incorrect
Zepto,3.8,"Delivery was early, products were correct.",40,Kolkata,Essentials,Positive,High,Yes,In Stock,5,Correct
Blinkit,3.6,"Order was cancelled last minute, very annoying.",54,Pune,Food,Negative,Low,Yes,In Stock,4,Incorrect
Swiggy Instamart,3.9,"Service was great, delivery was quick.",21,Mumbai,Food,Positive,High,No,Out of Stock,4,Correct
Swiggy Instamart,1.8,"Driver didn’t follow instructions, order was wrong.",53,Pune,Pharmacy,Negative,Low,Yes,Out of Stock,2,Correct
